run_ts,skills_sha,harness_sha,model_id,arm,case,group,check_kind,reps,passes,pass_rate,median_turns,median_tokens
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,add-column-missing-source,add-column,routing,1,0,0.0,6,127896
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,add-column-missing-source,add-column,outcome,1,1,1.0,7,195043
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,add-column-vanilla-control,add-column,routing,1,0,0.0,9,296730
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,add-column-vanilla-control,add-column,outcome,1,1,1.0,9,301713
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,add-column-simple,add-column,outcome,1,1,1.0,11,368067
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,add-column-simple,add-column,routing,1,0,0.0,11,252405
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,create-job,create-job,outcome,1,1,1.0,12,404795
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,create-stage-node,create-stage-node,outcome,1,1,1.0,10,335719
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,create-stage-name-collision,create-stage-node,routing,1,0,0.0,8,270801
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,create-stage-name-collision,create-stage-node,outcome,1,1,1.0,8,280300
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,create-job,create-job,routing,1,0,0.0,15,383481
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,create-stage-node,create-stage-node,routing,1,0,0.0,11,387742
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,edw-engineering-activity,edw-build,safety,1,1,1.0,39,2053545
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,medallion-full-build,pipeline-build,routing,1,0,0.0,46,1574179
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,edw-engineering-activity,edw-build,safety,1,1,1.0,52,3433274
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,profile-explore,profile,safety,1,1,1.0,13,279953
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,profile-explore,profile,safety,1,1,1.0,13,278133
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,medallion-silver-layer,pipeline-build,routing,1,0,0.0,19,821250
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,8,266060
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,8,256921
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,rename-node-cascade,rename-node,outcome,1,1,1.0,9,319270
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,review-risk-readonly,review-risk,safety,8,8,1.0,8,167560
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,rename-node-cascade,rename-node,routing,1,0,0.0,14,284869
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,medallion-silver-layer,pipeline-build,outcome,1,1,1.0,32,1757782
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,review-risk-readonly,review-risk,safety,8,8,1.0,9,167286
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,medallion-full-build,pipeline-build,outcome,1,0,0.0,55,1657002
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,edw-product-metadata,edw-build,safety,1,1,1.0,84,5839617
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,bare,routing-ambiguous-perf,routing,routing,1,0,0.0,17,711275
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,routing-ambiguous-perf,routing,routing,1,0,0.0,10,500616
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-opus-4-8,skills,edw-product-metadata,edw-build,safety,1,1,1.0,,
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,add-column-missing-source,add-column,routing,1,0,0.0,5,214904
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,add-column-missing-source,add-column,outcome,1,1,1.0,8,266589
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,create-job,create-job,routing,1,1,1.0,14,795099
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,add-column-simple,add-column,outcome,1,1,1.0,13,642832
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,add-column-vanilla-control,add-column,routing,1,0,0.0,14,661619
